name,address,neighborhood,borough,venue_type,cuisine,deal_details,deal_type,fan_countries,website,nyctourism_page,watchworldcup_url,sources
Mr. B Bar,"231 E. 33rd St., New York, NY, 10016",Murray Hill,Manhattan,Nightlife,Italian,"During Happy Hour, Monday-Friday from 11am-7pm, receive $3 off any wine, $2 off any spritz, $1 off any beer and play bocce ball for free. Receive a free commemorative cup with eligible purchases.",Limited Edition Cup,,https://mrbbarnyc.com,https://www.nyctourism.com/offers/fbws-mr-b-bar,,fbws
Park Avenue Tavern,"99 Park Ave., New York, NY, 10016",Murray Hill,Manhattan,Eat & Drink,,Enjoy 22oz Michelob Ultra and Stella drafts in limited-edition souvenir cups.,Limited Edition Cup,,,https://www.nyctourism.com/offers/park-avenue-tavern,,fbws
Peter Dillon's,,Murray Hill,Manhattan,Bar,,,,England,,,https://watchworldcup.nyc/venues/peter-dillons,wwc
The Gem Saloon,"375 Third Ave., New York, NY 10016",Murray Hill,Manhattan,Restaurants,American (Traditional),This Murray Hill tavern is offering special $26 menus during World Cup 2026.,Limited Edition Cup; $26 Offers,,https://www.thegemsaloonnyc.com,https://www.nyctourism.com/offers/fbws-the-gem-saloon,,fbws
Villa Berulia,"107 E. 34th St., New York, NY 10016",Murray Hill,Manhattan,Restaurants,Italian,Enjoy Croatian food and beer deals during World Cup 2026 at this Murray Hill restaurant.,$26 Offers,,https://villaberulia.com,https://www.nyctourism.com/offers/fbws-villa-berulia-restaurant,,fbws
Wagamama - Murray Hill,"Location Wagamama - Murray Hill  605 Third Ave., New York, NY 10158  Get Directions",Murray Hill,Manhattan,Restaurants,Asian Fusion,Kick off match day the right way with $26 meal deals at Wagamama during World Cup 2026.,Limited Edition Cup,,https://www.wagamama.us/restaurants/new-york/murray-hill,https://www.nyctourism.com/offers/fbws-wagamama-murray-hill,,fbws
Bleecker Street Bar,"New York, NY",Noho,Manhattan,Restaurants,Bars/Cocktails,Snag $26 meal and beer deals at this Noho pub through World Cup 2026.,$26 Offers,,https://bleeckerstreetbarnyc.com,https://www.nyctourism.com/offers/fbws-bleecker-street-bar,,fbws
Great Jones Distilling Co.,"686 Broadway, Manhattan, NY, 10012",Noho,Manhattan,Attractions & Tours,,"In honor of World Cup 2026, tickets to the  Distilling New York tour and tasting are $26.",$26 Offers,,https://greatjonesdistillingco.com/distillery-experiences,https://www.nyctourism.com/offers/fbws-great-jones-distilling-co-tour-and-tasting,,fbws
Great Jones Distilling Co.,"686 Broadway, Manhattan, NY, 10012",Noho,Manhattan,Restaurants,American (New),"In celebration of World Cup 2026, enjoy a burger and an Old Fashioned for $26.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-great-jones-distilling-co-2,,fbws
Jac’s on Bond,"New York, NY",Noho,Manhattan,Restaurants,Spanish,"Jac’s on Bond offers signature cocktails inspired by counties participating in the World Cup, served in a limited-edition commemorative souvenir cup.",Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-jacs-on-bond,,fbws
Uncle Ted's,"New York, NY",Noho,Manhattan,Restaurants,Chinese,"Uncle Ted’s 2026 World Cup Prix Fixe Menu | Five Borough Winners Special June 11 – July 19, 2026 | $26 per set | Available all day  Fuel your match day with Uncle Ted’s World Cup Prix Fixe Menu. For $26, build your perfect set by choosing one soup or one beer, one appetizer, and one entrée from a lineup of Chinese comfort classics. Whether you’re grabbing a quick bite or settling in for a full meal, this value-packed special delivers big flavor all tournament long.  $26 Prix Fixe Includes (Choose): 1) Soup or Beer (choose one):  Wonton Soup Chicken Egg Drop Soup Hot & Sour Soup or Coors Light Budweiser  2) Appetizer (choose one):  Egg Roll (1) Vegetable Spring Rolls (2) Chicken Wings (2)  3) Entrée (choose one): Options include favorites like Beef with Broccoli, Kung Pao Chicken with Peanuts, Orange Chicken, Double-Cooked Spicy Pork, Shrimp with Broccoli, plus classic fried rice and lo mein selections.  Available all day from June 11 to July 19, 2026. Dine in and enjoy a World Cup-ready meal at Uncle Ted’s.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/world-cup-cuisine-form-uncle-teds,,fbws
Crossbar,,NoHo,Manhattan,Bar,,,,,,,https://watchworldcup.nyc/venues/crossbar,wwc
Rocco's Sports & Rec,,NoHo,Manhattan,Bar,,,,,,,https://watchworldcup.nyc/venues/roccos-sports-rec,wwc
Slainte Bar & Lounge,,NoHo,Manhattan,Bar,,,,,,,https://watchworldcup.nyc/venues/slainte-bar-lounge,wwc
La Esquina,"La Esquina , 114 Kenmare St., New York, NY, 10012",Nolita,Manhattan,Restaurants,Latin American,"$26 Offer - 1 taco and a Sexico. (Tacos - Tinga, Short Rib or Mushroom)",Limited Edition Cup; $26 Offers,,https://www.esquinanyc.com/location/la-esquina-nyc-downtown,https://www.nyctourism.com/offers/fbws-la-esquina-soho,,fbws
Ma•dé,"22 Spring St., Manhattan, NY, 10012",Nolita,Manhattan,Restaurants,Asian Fusion,Enjoy $26 food and drink deals at this Nolita Indonesian spot during World Cup games.,Limited Edition Cup; $26 Offers,,https://www.ma-de-nyc.com,https://www.nyctourism.com/offers/fbws-ma-de,,fbws
Spring Lounge,"Spring Lounge, 48 Spring St., New York, NY 10012",Nolita,Manhattan,Restaurants,Bars/Cocktails,Get a free limited-edition cup with any eligible beer purchased during World Cup games at Spring Lounge.,Limited Edition Cup,,https://www.thespringlounge.com,https://www.nyctourism.com/offers/fbws-spring-lounge,,fbws
Wayan,"20 Spring St., Manhattan, NY, 10012",Nolita,Manhattan,Restaurants,Asian Fusion,This French Indonesian restaurant is offering $26 meal and drink deals during World Cup 2026 games.,Limited Edition Cup; $26 Offers,,https://www.wayan-restaurants.com/new-york,https://www.nyctourism.com/offers/fbws-wayan,,fbws
Allora Ristorante - 5th Avenue,"New York, NY",Nomad,Manhattan,Restaurants,Italian,,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-allora-ristorante---5th-avenue,,fbws
Everdene,"Everdene, Virgin Hotels New York City, New York, NY, 10001",Nomad,Manhattan,Restaurants,American (New),"When the world comes to play, it comes hungry. We’re joining NYC Tourism’s official Five Borough Winners Special in celebration of the World Cup coming to New York City. For $26, enjoy any draft beer paired with your choice of Seoul Chicken Bites with Korean Garlic Chili or our Signature Dry-Aged Beef Sliders. Guests will also receive a limited-edition NYC World Cup collectible cup with purchase while supplies last, part of a five-borough collection created for the tournament.  Whether you’re stopping in before the match or celebrating after, join us for great bites, cold beers, and a taste of NYC’s World Cup spirit.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/world-cup-cuisine-form-virgin-hotels-new-york-city,,fbws
Il Fiorista,"17 W. 26th St., New York, NY, 10010",Nomad,Manhattan,Restaurants,Mediterranean,Order items from the bar happy hour menu for $26 and receive a commemorative cup.,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-il-fiorista,,fbws
"Swingers, the crazy golf club","Location Swingers, the crazy golf club  35 W. 29th St., New York, NY 10001  Get Directions",Nomad,Manhattan,Restaurants,Bars/Cocktails,Play crazy golf and score a commemorative cup at this Nomad venue during World Cup 2026.,Limited Edition Cup; $26 Offers,,https://www.swingers.club/us/locations/nyc,https://www.nyctourism.com/offers/fbws-swingers-nomad,,fbws
The Seville,"22 E 29th Street, New York, NY, 10016",Nomad,Manhattan,Restaurants,Bars/Cocktails,Treat yourself to a Lion’s Roar Cocktail paired with Herbed Pomme Frites for $26!,$26 Offers,,,https://www.nyctourism.com/offers/fbws-the-seville,,fbws
The Smith - Nomad,"1150 Broadway, New York, NY, 10001",Nomad,Manhattan,Restaurants,American (New),Visit the Smith during the World Cup and enjoy a limited time burger + bubbly special for just $26!,$26 Offers,,,https://www.nyctourism.com/offers/fbws-the-smith---nomad,,fbws
Grey Bar & Restaurant,,NoMad,Manhattan,Restaurant,,,,,,,https://watchworldcup.nyc/venues/grey-bar-restaurant,wwc
The Churchill Tavern,,NoMad,Manhattan,Bar,,,,England,,,https://watchworldcup.nyc/venues/the-churchill-tavern,wwc
Balthazar Bakery - Soho,"New York, NY",Soho,Manhattan,Restaurants,French,"Grab a special $26 meal deal at Soho's Balthazar Bakery, throughout World Cup 2026.",Limited Edition Cup; $26 Offers,,https://www.balthazarbakery.com/soho,https://www.nyctourism.com/offers/fbws-balthazar-bakery-soho,,fbws
Balthazar Restaurant,"Balthazar Restaurant, 80 Spring St., New York, NY 10012",Soho,Manhattan,Restaurants,French,Enjoy $26 meal deals when you dine at this famous Soho brasserie during World Cup 2026.,Limited Edition Cup; $26 Offers,,https://balthazarny.com,https://www.nyctourism.com/offers/fbws-balthazar-restaurant,,fbws
Eataly NYC SoHo,"200 Lafayette St., Manhattan, NY, 10012",Soho,Manhattan,Restaurants,Italian,Enjoy a Margherita Romana and a Peroni beer for $26.,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-eataly-nyc-sohomarg,,fbws
Felix,,SoHo,Manhattan,Restaurant,,,,France,,,https://watchworldcup.nyc/venues/felix-soho,wwc
Grand Street Social,,SoHo,Manhattan,Bar,,,,England; United States,,,https://watchworldcup.nyc/venues/grand-street-social,wwc
Cowgirl SeaHorse,"New York, NY",The Seaport,Manhattan,Restaurants,American (Traditional),Score $26 beer and food deals at this Seaport restaurant throughout World Cup 2026.,Limited Edition Cup; $26 Offers,,https://cowgirlseahorse.com,https://www.nyctourism.com/offers/fbws-cowgirl-seahorse,,fbws
Sadie's,"New York, NY",The Seaport,Manhattan,Restaurants,American (New),Celebrate the World Cup at this restaurant in The Seaport with $26 Heinekens and receive a free commemorative cup with eligible purchases.,Limited Edition Cup,,https://www.sadies.nyc,https://www.nyctourism.com/offers/fbws-sadies,,fbws
Urban Cove Society & Kitchen,"Urban Cove Society & Kitchen, 33 Hotel, New York City, Seaport, 33 Peck Slip, New York, NY, 10038",The Seaport,Manhattan,Restaurants,American (New); Eclectic,"Happy Hour will be offered during all matches, featuring a $10 burger & beer combo, special pricing on pizzas, and select bar bites. Guests receive a free commemorative cup with eligible purchases.",Limited Edition Cup,,https://www.urbancoveseaport.com,https://www.nyctourism.com/offers/fbws-urban-cove-society-kitchen,,fbws
BXL Cafe,,Theater District,Manhattan,Bar,,,,Belgium,,,https://watchworldcup.nyc/venues/bxl-cafe,wwc
Hurley's Saloon,,Theater District,Manhattan,Bar,,,,Netherlands; England; United States,,,https://watchworldcup.nyc/venues/hurleys-saloon,wwc
Langan's,,Theater District,Manhattan,Bar,,,,England,,,https://watchworldcup.nyc/venues/langans,wwc
Lillie's Victorian Establishment,,Theater District,Manhattan,Bar,,,,United States,,,https://watchworldcup.nyc/venues/lillies-victorian-establishment,wwc
The Perfect Pint,,Theater District,Manhattan,Bar,,,,England,,,https://watchworldcup.nyc/venues/the-perfect-pint,wwc
Generator World Cup Viewing,,Times Square,Manhattan,Pop-Up,,,,,,,https://watchworldcup.nyc/venues/generator-world-cup-viewing,wwc
Lagos TSQ,,Times Square,Manhattan,Restaurant,,,,,,,https://watchworldcup.nyc/venues/lagos-tsq,wwc
Long Acre Tavern,,Times Square,Manhattan,Bar,,,,England,,,https://watchworldcup.nyc/venues/long-acre-tavern,wwc
Printers Alley,,Times Square,Manhattan,Bar,,,,England,,,https://watchworldcup.nyc/venues/printers-alley,wwc
Allora Ristorante - Times Square,"New York, NY",Times Square/Theatre District,Manhattan,Restaurants,Italian,,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-allora-ristorante---times-square,,fbws
Ameritania Bar,"New York, NY",Times Square/Theatre District,Manhattan,Restaurants,Local Beer/Wine/Spirits Only,Enjoy drinks deals and a souvenir cup at this hotel bar during World Cup 2026.,Limited Edition Cup; $26 Offers,,https://www.ameritanianyc.com,https://www.nyctourism.com/offers/fbws-ameritania-bar,,fbws
Bar 54,"Bar 54, 135 W. 45th St., New York, NY 10036",Times Square/Theatre District,Manhattan,Restaurants,Bars/Cocktails,Snag cocktail and chips deals at this hotel rooftop bar in Times Square.,$26 Offers,,https://www.hyatt.com/hyatt-centric/en-US/nycts-hyatt-centric-times-square/dining,https://www.nyctourism.com/offers/fbws-bar-54,,fbws
Bar Sprezzatura,"New York, NY",Times Square/Theatre District,Manhattan,Restaurants,Italian,Enjoy a $26 snack and beers deal when you watch the World Cup at this rooftop bar.,Limited Edition Cup; $26 Offers,,https://www.barsprezzaturanyc.com,https://www.nyctourism.com/offers/fbws-bar-sprezzatura,,fbws
Bridges Bar,"Bridges Bar, New York Hilton Midtown, 1335 Sixth Ave., New York, NY, 10019",Times Square/Theatre District,Manhattan,Nightlife,American (New),"At Bridges Bar watch parties, enjoy drink specials, curated viewing experiences and a signature cocktail served in a limited-edition commemorative cup.",Limited Edition Cup,,https://www.hilton.com/en/hotels/nycnhhh-new-york-hilton-midtown/dining,https://www.nyctourism.com/offers/fbws-bridges-bar,,fbws
Brooklyn Chop House Times Square,"New York, NY",Times Square/Theatre District,Manhattan,Restaurants,Steakhouse,Enjoy World Cup meal and drink deals plus a souvenir cup at this Times Square steakhouse.,Limited Edition Cup,,https://www.brooklynchophouse.com/times-square,https://www.nyctourism.com/offers/fbws-brooklyn-chop-house-times-square,,fbws
Cue 48,"New York, NY",Times Square/Theatre District,Manhattan,Restaurants,American (New),"Enjoy a Stella Artois draft, craft burger, and the limited-edition collectible cup for just $26.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-cue-48,,fbws
Dallas BBQ,"New York, NY",Times Square/Theatre District,Manhattan,Restaurants,American (Traditional),Enjoy $26 meal deals at this BBQ chain throughout World Cup 2026.,Limited Edition Cup; $26 Offers,,https://www.dallasbbq.com/times-square,https://www.nyctourism.com/offers/fbws-dallas-bbq-times-square,,fbws
Dave & Buster's - Times Square,"Dave & Buster's - Times Square, 234 W. 42nd St., New York, NY 10036",Times Square/Theatre District,Manhattan,Restaurants,American (Traditional),Enjoy $26 meal deals at this Times Square sports bar chain throughout World Cup 2026.,Limited Edition Cup; $26 Offers,,https://www.daveandbusters.com,https://www.nyctourism.com/offers/fbws-dave-and-busters-times-square,,fbws
Dos Caminos Times Square,"1567 Broadway, Manhattan, NY, 10036",Times Square/Theatre District,Manhattan,Restaurants,Mexican,Enjoy $26 meal and margarita deals at this Mexican restaurant throughout World Cup 2026.,Limited Edition Cup; $26 Offers,,https://www.doscaminos.com/location/dos-caminos-times-square,https://www.nyctourism.com/offers/fbws-dos-caminos-times-square,,fbws
Element by Marriott New York - Times Square West,"New York, NY",Times Square/Theatre District,Manhattan,Restaurants,American (Traditional),Get a free commemorative cup with eligible purchases at this Midtown hotel.,Limited Edition Cup,,https://www.marriott.com,https://www.nyctourism.com/offers/fbws-element-by-marriott-new-york-times-square-west,,fbws
Ellen's Stardust Diner,"1650 Broadway, Manhattan, NY, 10019",Times Square/Theatre District,Manhattan,Restaurants,American (Traditional),Ellen's is serving drink specials and $12 drafts of your choice in Manhattan souvenir cups for World Cup 2026.,Limited Edition Cup,,https://www.ellensstardustdiner.com,https://www.nyctourism.com/offers/fbws-ellens-stardust-diner,,fbws
Gui Steakhouse,"776 Eighth Ave., Manhattan, NY, 10036",Times Square/Theatre District,Manhattan,Restaurants,Steakhouse,Enjoy $26 burger meal deals at this Midtown steakhouse during World Cup 2026.,$26 Offers,,https://guinyc.com,https://www.nyctourism.com/offers/fbws-gui-steakhouse,,fbws
Havana Central,"151 W. 46th St., Manhattan, NY, 10036",Times Square/Theatre District,Manhattan,Restaurants,Cuban,Enjoy special $26 World Cup meal and drink deals at this Cuban restaurant in Midtown.,Limited Edition Cup; $26 Offers,,https://www.havanacentral.com,https://www.nyctourism.com/offers/fbws-havana-central-times-square,,fbws
Haven Rooftop,"Haven Rooftop, Sanctuary Hotel, 132 W. 47th St., New York, NY 10036",Times Square/Theatre District,Manhattan,Restaurants,American (New),This Midtown rooftop bar is offering $26 snack and drink deals for World Cup 2026.,$26 Offers,,https://www.havenrooftop.com,https://www.nyctourism.com/offers/fbws-haven-rooftop,,fbws
Jasmine's Caribbean Cuisine,"371 W. 46th St., Manhattan, NY, 10036",Times Square/Theatre District,Manhattan,Restaurants,Caribbean,Enjoy special Caribbean meal deals at this Midtown restaurant during World Cup 2026.,Limited Edition Cup; $26 Offers,,https://www.jasminecaribbeancuisine.com,https://www.nyctourism.com/offers/fbws-jasmines-caribbean-cuisine,,fbws
John's Pizzeria Times Square,"260 W. 44th St., Manhattan, NY, 10036",Times Square/Theatre District,Manhattan,Restaurants,Pizza,Get a commemorative cup with eligible purchases at this pizzeria during World Cup 2026.,Limited Edition Cup,,https://www.johnspizzerianyc.com,https://www.nyctourism.com/offers/fbws-johns-pizzeria-times-square,,fbws
KungFu Kitchen - Times Square,"New York, NY",Times Square/Theatre District,Manhattan,Restaurants,Chinese,Enjoy $26 meal deals at this Chinese restaurant throughout World Cup 2026.,Limited Edition Cup; $26 Offers,,https://www.kfkitchennyc.com,https://www.nyctourism.com/offers/fbws-kungfu-kitchen-times-square,,fbws
